"filename", "language", "JavaScript", "JSON with Comments", "JSON", "TypeScript", "Markdown", "YAML", "comment", "blank", "total"
"e:\Fernando Herrera\Nest\distritosiete\src\categorias\dto\create-categoria.dto.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 3, 13
"e:\Fernando Herrera\Nest\distritosiete\src\categorias\dto\update-categoria.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 2, 5
"e:\Fernando Herrera\Nest\distritosiete\src\categorias\entities\categoria.entity.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 8, 32
"e:\Fernando Herrera\Nest\distritosiete\src\centrosdeportivos\centrosdeportivos.controller.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 7, 43
"e:\Fernando Herrera\Nest\distritosiete\src\centrosdeportivos\centrosdeportivos.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
"e:\Fernando Herrera\Nest\distritosiete\src\centrosdeportivos\centrosdeportivos.service.ts", "TypeScript", 0, 0, 0, 97, 0, 0, 2, 61, 160
"e:\Fernando Herrera\Nest\distritosiete\src\centrosdeportivos\dto\create-centrosdeportivo.dto.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 0, 11, 59
"e:\Fernando Herrera\Nest\distritosiete\src\centrosdeportivos\dto\update-centrosdeportivo.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 2, 5
"e:\Fernando Herrera\Nest\distritosiete\src\centrosdeportivos\entities\centrosdeportivo-foto.entity.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 8, 23
"e:\Fernando Herrera\Nest\distritosiete\src\centrosdeportivos\entities\centrosdeportivo.entity.ts", "TypeScript", 0, 0, 0, 63, 0, 0, 1, 13, 77
"e:\Fernando Herrera\Nest\distritosiete\src\centrossaluds\centrossaluds.controller.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 7, 43
"e:\Fernando Herrera\Nest\distritosiete\src\centrossaluds\centrossaluds.module.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 3, 21
"e:\Fernando Herrera\Nest\distritosiete\src\centrossaluds\centrossaluds.service.ts", "TypeScript", 0, 0, 0, 103, 0, 0, 2, 64, 169
"e:\Fernando Herrera\Nest\distritosiete\src\centrossaluds\dto\create-centrossalud.dto.ts", "TypeScript", 0, 0, 0, 67, 0, 0, 0, 16, 83
